content_type,post_id,title,slug,old_url,new_url
page,6839,Nonqm Stated No Income Doc Mortgage Loans,stated-income-loans,http://localhost:8090/stated-income-loans/,/stated-income-loans/
page,3240,Nonqm Stated No Income Doc Mortgage Loans,nonqm-stated-no-doc-income-mortgage-loans,http://localhost:8090/nonqm-stated-no-doc-income-mortgage-loans/,/nonqm-stated-no-doc-income-mortgage-loans/
page,3238,Request Call Back,request-call-back,http://localhost:8090/request-call-back/,/request-call-back/
page,3237,Welcome &#8211; bkup,welcome-bkup,http://localhost:8090/welcome-bkup/,/welcome-bkup/
page,6838,Commercial Mortgage Loans from 5%,commercial-mortgage-loans,http://localhost:8090/commercial-mortgage-loans/,/commercial-mortgage-loans/
page,2906,Groups,groups,http://localhost:8090/groups/,/groups/
page,2885,Fix and Hold Loans,fix-and-hold-loans,http://localhost:8090/fix-and-hold-loans/,/fix-and-hold-loans/
page,2880,Jumbo Stated Income Mortgage Loans,jumbo-stated-income-mortgage-loans,http://localhost:8090/jumbo-stated-income-mortgage-loans/,/jumbo-stated-income-mortgage-loans/
page,2872,Raw Land Hard Money Loans,raw-land-hard-money-loans,http://localhost:8090/raw-land-hard-money-loans/,/raw-land-hard-money-loans/
page,2866,No Income Verification Mortgage,no-income-verification-mortgage,http://localhost:8090/no-income-verification-mortgage/,/no-income-verification-mortgage/
page,2863,Super Jumbo Commercial Mortgage Loans,commercial-super-jumbo-commercial-loans,http://localhost:8090/home/commercial-super-jumbo-commercial-loans/,/commercial-super-jumbo-commercial-loans/
page,2753,TRUST DEED INVESTING | HIGH RETURNS ON HARD MONEY LOANS,trust-deed-investing-high-returns-on-hard-money-loans,http://localhost:8090/trust-deed-investing-high-returns-on-hard-money-loans/,/trust-deed-investing-high-returns-on-hard-money-loans/
page,2699,Thank-You Page,registration-complete,http://localhost:8090/registration-complete/,/registration-complete/
page,2697,Protected Content,protected-content,http://localhost:8090/protected-content/,/protected-content/
page,2696,Membership List,memberships,http://localhost:8090/memberships/,/memberships/
page,2678,Email Policy,email-policy,http://localhost:8090/cmre/email-policy/,/email-policy/
page,2673,Terms of Use,terms-of-use,http://localhost:8090/terms-of-use/,/terms-of-use/
page,2672,Privacy Policy,privacy-policy,http://localhost:8090/privacy-policy/,/privacy-policy/
page,2670,Password Reset,password-reset,http://localhost:8090/password-reset/,/password-reset/
page,2668,Logout,logout,http://localhost:8090/logout/,/logout/
page,2667,Members,members,http://localhost:8090/members/,/members/
page,2666,Register,register,http://localhost:8090/register/,/register/
page,2664,User,user,http://localhost:8090/user/,/user/
page,2655,Affiliate Terms and Conditions,terms-and-conditions,http://localhost:8090/cmre/terms-and-conditions/,/terms-and-conditions/
page,2561,No Income Verification Mortgage,no-income-verification-mortgage,http://localhost:8090/home/no-income-verification-mortgage/,/no-income-verification-mortgage/
page,2542,Fix and Flip Rehab Mortgage Loans from 6.99%,fix-flip-rehab-loan-rehab-mortgage-loans,http://localhost:8090/home/fix-flip-rehab-loan-rehab-mortgage-loans/,/fix-flip-rehab-loan-rehab-mortgage-loans/
page,6837,File Upload,file-upload,http://localhost:8090/cmre/file-upload/,/file-upload/
page,2515,File Upload Page,file-upload-page,http://localhost:8090/file-upload-page/,/file-upload-page/
page,2418,Funded Transations,funded-transations,http://localhost:8090/funded-transations/,/funded-transations/
page,1983,Initial Loan Application,initial-loan-application,http://localhost:8090/initial-loan-application/,/initial-loan-application/
